frame,ball_x,ball_y,key_event_x,key_event_y
0,,,,
1,,,,
2,,,,
3,818.0,454.0,,
4,804.0,469.0,,
5,790.0,466.0,,
6,774.0,462.0,,
7,757.0,456.0,,
8,739.0,453.0,,
9,721.0,453.0,,
10,694.0,441.0,,
11,681.0,451.0,,
12,660.0,453.0,,
13,637.0,456.0,,
14,615.0,461.0,,
15,584.0,473.0,,
